id,type,question,method,pred,precision,recall,f1,matched_items,text_to_pandas_plan,text_to_pandas_status
MH03,MultiHop,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국산업은행""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""문서_소관기관"", ""지원형태_목록""]}",ok
MH04,MultiHop,한국에너지공단이 진행하는 사업들은 어떤 분야에 속하나요?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""한국에너지공단""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",ok
MH05,MultiHop,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,Text-to-Pandas Agent,1303449.78,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""정보통신기획평가원""}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업규모_2026(백만원)""]}",ok
MH08,MultiHop,AI컴퓨팅자원활용기반강화 사업을 수행하는 기관들이 맡고 있는 다른 사업 이름을 최대 3개까지 알려주세요.,Text-to-Pandas Agent,AI컴퓨팅 자원 활용 기반 강화,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""사업명"", ""operator"": ""=="", ""value"": ""AI컴퓨팅자원활용기반강화""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""문서_사업명""]}",ok
RV01,Reverse,NIA가 시행하는 사업의 개수는 몇 개야?,Text-to-Pandas Agent,0,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",ok
RV06,Reverse,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업기간"", ""operator"": ""contains"", ""value"": ""3년""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
CF05,ComplexFilter,내역사업이 두 개 이상인 새로 시작하는 사업 중에서 세 개를 골라주세요.,Text-to-Pandas Agent,개인정보 안전활용 선도기술 개발(R&D) 3 | AI AGENT 선도 국가 사업 2 | AI·SW중심대학 2,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""내역사업_건수"", ""operator"": "">="", ""value"": 2}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명"", ""내역사업_건수""]}",ok
CF06,ComplexFilter,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,Text-to-Pandas Agent,nan,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""회계기금_구분라벨"", ""operator"": ""=="", ""value"": ""일반회계""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""max"", ""sort_by"": {""column"": ""사업규모_2026(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""사업명""]}",ok
MH14,MultiHop,한국보건산업진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,Text-to-Pandas Agent,23 보건복지부,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국보건산업진흥원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",ok
MH15,MultiHop,KISA가 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""KISA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",ok
MH21,MultiHop,NIA가 시행하는 사업들이 포함된 단위사업명 세 개만 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""단위사업명""]}",ok
MH22,MultiHop,IITP가 진행하는 사업들은 어떤 분야에 속해 있어?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""IITP""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",ok
MH23,MultiHop,NIPA가 진행하는 사업들은 어떤 분야에 속해?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIPA""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",ok
MH24,MultiHop,한국산업기술기획평가원이 하는 사업들은 어떤 분야에 속해?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국산업기술기획평가원""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",ok
MH25,MultiHop,NIA가 진행하는 사업들은 어떤 분야에 속해?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""NIA""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",ok
MH26,MultiHop,NRF가 시행하는 사업 이름 세 개만 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NRF""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
MH28,MultiHop,KISA가 시행하는 사업 이름 3개만 알려줄래?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""KISA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
MH32,MultiHop,한국환경산업기술원이 주관하는 사업 중에서 3개만 알려줄래?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국환경산업기술원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
MH33,MultiHop,정보통신기획평가원이 주관하는 사업들이 포함된 부문명을 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""정보통신기획평가원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""부문명""]}",ok
MH34,MultiHop,NIPA가 시행하는 사업들이 포함된 부문명을 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIPA""}], ""group_by"": [""부문명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""부문명""]}",ok
RV08,Reverse,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,Text-to-Pandas Agent,AI기반 스마트 어업관리 시스템 개발(R&D) | AI 완전자율운항선박 기술개발(R&D) | AI응용제품 신속상용화 지원사업,0.3333333333333333,0.3333333333333333,0.3333333333333333,AI기반 스마트 어업관리 시스템 개발(R&D),"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""해수부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
CF08,ComplexFilter,산업부 관할로 지원 방식이 출연인 2026년 예산이 5만 백만원 이상인 사업 3개를 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}, {""column"": ""예산총괄표_2026열1(백만원)"", ""operator"": "">="", ""value"": 50000}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
CF13,ComplexFilter,일반회계로 진행되는 보조사업 중 내년에 새로 시작하는 사업 3개만 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""회계기금_구분라벨"", ""operator"": ""=="", ""value"": ""일반회계""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""사업명"", ""ascending"": true}, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
CF14,ComplexFilter,일반회계에 속하고 직접 지원 형태로 내년에 새로 시작하는 사업 3개만 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""회계기금_구분라벨"", ""operator"": ""=="", ""value"": ""일반회계""}, {""column"": ""지원형태_직접"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
CF23,ComplexFilter,과학기술 분야에서 내년에 새로 시작하는 사업 중 2026년 예산이 100억 원 이상인 것 3개를 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""분야명"", ""operator"": ""=="", ""value"": ""과학기술""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}, {""column"": ""예산총괄표_2026열1(백만원)"", ""operator"": "">="", ""value"": 100000}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
CF24,ComplexFilter,NIA가 시행하는 출연 형태의 사업 중 3개를 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIA""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
CF25,ComplexFilter,한국연구재단이 주관하고 출연 방식으로 지원하는 사업 세 가지를 알려줘.,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국연구재단""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",ok
SQA066,Aggregation,정보통신기획평가원이 시행하는 사업은 총 몇 개인가?,Text-to-Pandas Agent,70,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""정보통신기획평가원""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",ok
SQA068,Aggregation,NIA가 주관하는 사업의 개수는 얼마나 되나요?,Text-to-Pandas Agent,0,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",ok
