id,type,question,method,pred,precision,recall,f1,matched_items
MH03,MultiHop,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,XLSX Template Executor v4,"(과학기술 정보통신부, 출자) | (금융위원회, 출자)",0.0,0.0,0.0,
MH05,MultiHop,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,XLSX Template Executor v4,1341298백만원,0.0,0.0,0.0,
MH08,MultiHop,AI컴퓨팅자원활용기반강화 사업을 수행하는 기관들이 맡고 있는 다른 사업 이름을 최대 3개까지 알려주세요.,XLSX Template Executor v4,전산운영경비(정보화) | 개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),0.0,0.0,0.0,
RV06,Reverse,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.3333333333333333,0.3333333333333333,0.3333333333333333,개인정보 안전활용 선도기술 개발(R&D)
CF06,ComplexFilter,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,XLSX Template Executor v4,AI 기반 분산전력망 산업 육성,0.0,0.0,0.0,
MH09,MultiHop,정보통신기획평가원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,XLSX Template Executor v4,과학기술 정보통신부 | 13 과학기술정보통신부 | 과학기술정보 통신부,0.5,0.3333333333333333,0.4,과학기술 정보통신부 | 과학기술정보통신부 | 과학기술정보 통신부
RV07,Reverse,복지부에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,XLSX Template Executor v4,한국형 수술질향상 프로젝트(K-NSQIP),0.0,0.0,0.0,
RV08,Reverse,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,XLSX Template Executor v4,AI 완전자율운항선박 기술개발(R&D) | AI응용제품 신속상용화 지원사업 | 국제사회 IUU어업 예방을 위한 원양어선 전자 모니터링기술개발(R&D),0.0,0.0,0.0,
RV22,Reverse,통신 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.3333333333333333,0.3333333333333333,0.3333333333333333,4대 지역외 AX 대전환 기획
RV23,Reverse,과학기술 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.0,0.0,0.0,
