structured_set_id,set,id,type,question,gold,representative_gold,acceptable_answers,answer_limit,candidate_count,evaluation_mode,source_columns,query_logic,revision_note,question_pattern,pattern_motif,question_original,question_noise_level,question_perturbed,noise_type
STR001,Structured_HITL_20,MH01,MultiHop,NIPA가 시행기관인 사업들의 소관기관을 최대 3개까지 알려줘.,과학기술 정보통신부,과학기술 정보통신부,과학기술 정보통신부,1,1,exact_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 소관 list up to 3,사업시행주체_목록 기준. 소관기관 표기 공백 정규화 필요. 최종본: 기존 HITL 검증 문항 유지.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,정보통신산업진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,NIPA가 시행기관인 사업들의 소관기관을 최대 3개까지 알려줘.,abbreviation
STR002,Structured_HITL_20,MH02,MultiHop,NIA가 시행기관으로 있는 사업들이 포함된 단위사업명을 최대 3개까지 알려줘.,AI경쟁력강화 | 스마트화산업기반확충(일반) | 콘텐츠디바이스기술개발 (일반),AI경쟁력강화 | 스마트화산업기반확충(일반) | 콘텐츠디바이스기술개발 (일반),AI경쟁력강화 | 스마트화산업기반확충(일반) | 콘텐츠디바이스기술개발 (일반) | ICT산업기반확충 | 데이터산업경쟁력강화 | 단위사업명 | AI경쟁력강화(일반) | 생산적정보문화조성 | 네트워크기반조성(일반) | 데이터산업경쟁력강화(일반) | 스마트화산업기반확충 | 데이터산업경쟁력강화(정진) | 데이터산업경쟁력강화(방발) | AI기술개발 | SW융합인력양성 | 공공서비스신기술적용촉진 (정보화) | AI기술개발(지특) | AI경쟁력강화(방발) | 공공데이터 개방 및 이용활성화 지원(정보화) | 정보자원관리지원기반확충 | 정보자원관리기반확충,3,21,any_3_from_candidate_set,"사업시행주체_목록, 단위사업명 (df_base)",사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 단위사업명 list up to 3,"사용자 제시 28개 기준: row 29건, 사업명 중복 1건으로 unique 사업명 28개. 단위사업명은 해당 row 기준 unique 목록. / 평가 시 gold 3개만 보지 말고 acceptable_answers 전체 후보 중 임의 3개를 정답 인정. 최종본: 기존 HITL 검증 문항 유지.",agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국지능정보사회진흥원이 시행기관인 사업들이 속한 단위사업명 3개까지 나열하시오.,L1_strict,NIA가 시행기관으로 있는 사업들이 포함된 단위사업명을 최대 3개까지 알려줘.,abbreviation
STR003,Structured_HITL_20,MH03,MultiHop,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,과학기술 정보통신부 출자 | 금융위원회 출자,과학기술 정보통신부 출자 | 금융위원회 출자,과학기술 정보통신부 출자 | 금융위원회 출자,2,2,exact_set,"사업시행주체_목록, 소관, 지원형태_목록 (df_base)","사업시행주체_목록 contains {'한국산업은행'} -> unique (소관, 지원형태_목록) pair list",사업시행주체_목록 기준. 최종본: 기존 HITL 검증 문항 유지.,support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,한국산업은행이 시행기관인 사업들의 소관기관과 지원형태를 나열하시오.,L1_strict,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,surface_rewrite
STR004,Structured_HITL_20,MH04,MultiHop,한국에너지공단이 진행하는 사업들은 어떤 분야에 속하나요?,산업·중소기업 및 에너지,산업·중소기업 및 에너지,산업·중소기업 및 에너지,1,1,exact_set,"사업시행주체_목록, 분야명 (df_base)",사업시행주체_목록 contains {'한국에너지공단'} -> unique 분야명 list,사업시행주체_목록 기준. 최종본: 기존 HITL 검증 문항 유지.,field_sector_reverse,정책 분야별 예산 분포·사업 구성 확인,한국에너지공단이 시행하는 사업의 분야명은?,L1_strict,한국에너지공단이 진행하는 사업들은 어떤 분야에 속하나요?,colloquial
STR005,Structured_HITL_20,MH05,MultiHop,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,1319012백만원,1319012백만원,1319012백만원,1,1,exact_value,"사업시행주체_목록, 예산총괄표_2026열2(백만원) (df_base)",사업시행주체_목록 contains {'정보통신기획평가원'} -> 2026예산 sum,사업시행주체_목록 기준 합계. 사업추진체계_사업시행주체까지 확장하면 전문기관/주관기관이 섞여 합계가 달라짐. 최종본: 기존 HITL 검증 문항 유지.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,정보통신기획평가원이 시행기관인 사업들의 2026년 예산 합계는?,L1_strict,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,colloquial
STR006,Structured_HITL_20,MH06,MultiHop,중소기업기술정보진흥원이 진행하는 내역사업들은 어떤 기관의 소관인가요?,중소벤처기업부,중소벤처기업부,중소벤처기업부,1,1,exact_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'중소기업기술정보진흥원'} -> unique 소관 list,사업시행주체_목록 기준. 최종본: 기존 HITL 검증 문항 유지.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,중소기업기술정보진흥원이 시행하는 내역사업들의 소관기관은?,L1_strict,중소기업기술정보진흥원이 진행하는 내역사업들은 어떤 기관의 소관인가요?,colloquial
STR007,Structured_HITL_20,MH07,MultiHop,해양경찰청에서 관할하는 사업을 시행하는 기관은 어디인가요?,미정 | 해양수산과학기술진흥원 | 해양경찰청,미정 | 해양수산과학기술진흥원 | 해양경찰청,미정 | 해양수산과학기술진흥원 | 해양경찰청,3,3,exact_set,"소관, 사업시행주체_목록 (df_base)",소관={'해양경찰청'} -> unique 사업시행주체_목록 list,해양경찰청 소관 전체 사업 기준. 기존 gold는 해양경찰청만 있어 누락 가능. 최종본: 기존 HITL 검증 문항 유지.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,해양경찰청 소관 사업의 시행기관은?,L1_strict,해양경찰청에서 관할하는 사업을 시행하는 기관은 어디인가요?,colloquial
STR008,Structured_HITL_20,MH08,MultiHop,AI컴퓨팅자원활용기반강화 사업을 수행하는 기관들이 맡고 있는 다른 사업 이름을 최대 3개까지 알려주세요.,4대 지역외 AX 대전환 기획 | AI AGENT 선도 국가 사업 | AI·공간컴퓨팅 창업 생태계 활성화,4대 지역외 AX 대전환 기획 | AI AGENT 선도 국가 사업 | AI·공간컴퓨팅 창업 생태계 활성화,4대 지역외 AX 대전환 기획 | AI AGENT 선도 국가 사업 | AI·공간컴퓨팅 창업 생태계 활성화 | AI 기반 뇌발달질환 디지털의료기기 실증지원 | AI반도체실증지원 | AI반도체 지원플랫폼 | AI 분야 오픈소스 생태계 조성 | AI기반안전관리분야 디지털트윈선도 | AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용 | AI기반가상융합산업육성 | AI기반 개방형 5G-A 융합서비스 테스트베드 구축운영(R&D) | AI산업육성 | AI선박 특화 플랫폼 및 애플리케이션 개발·실증 | AI융합 지능형 농업 생태계 구축 | AI응용제품신속상용화지원사업 (보안·네트워크·생활 등) | AI일상화 확산 | AI정밀의료SW선도기반조성 | AI통합바우처 | A I혁신을 위한 데이터안전활용 지원 | AX실증밸리조성(R&D) | K-AI 네트워크 경쟁력 강화 | K-Health 국민의료 AI서비스 및 산업생태계 구축 | World Best LLM 데이터 활용 지원 | 강원 의료 AX 산업 실증 허브 조성 | 건전정보문화조성 | 경쟁형 AI 혁신인재 성장 지원 | 고성능 AI(Hyper-AI) 네트워크 기반조성 사업 | 공공AX 프로젝트 | 광주 AI 실증도시 실현(기본계획 수립 용역비) | 국가 AI데이터센터 고도화 | 국가 NPU전용 컴퓨팅센터 광주 설립(설계비) | 국가 데이터 인프라 기반 데이터 혁신(Data-X) 지원 | 국가지식정보 연계 및 활용 촉진(정보화) | 국산 NPU 기반 AI CCTV 전환 | 데이터 활용 의료·건강 생태계조성 | 데이터경제인프라구축 | 데이터기반산업경쟁력강화 | 동대구벤처밸리 AI 테크포트 | 디지털 질서 기반 구축 및 글로벌 확산 지원 | 디지털 혁신 기술 기반 K-CareNetwork | 디지털역량강화교육 | 디지털트윈 융합 의료혁신 선도사업 | 디지털헬스케어기반 AI 융합혁신 센터 구축 | 미래디지털인재양성및저변확대 | 범정부 인공지능 공통기반 구현(정보화) | 소프트웨어인재키움 | 스마트물류 기술 실증화 | 오픈랜실증단지조성 | 융합서비스 글로벌시장 진출지원 | 의료AI혁신생태계조성(닥터앤서3.0) | 인간-AI 협업형 LAM 개발 ·글로벌 실증(R&D) | 인공지능 신뢰성 혁신 실증사업 | 전국민 AI활용 서비스 개발환경 조성 | 제조업 AI융합 기반 조성 | 지능형 홈 산업 육성 | 지속가능한 데이터센터 산업 발전 지원 | 지역거점AX혁신기술개발(R&D) | 지역디지털인재양성 | 지역특화 AI 공간컴퓨팅 육성사업 | 차세대 네트워크 선도 연구시험망 구축운영(R&D) | 초거대AI 클라우드팜 실증 및 AI 확산 환경 조성 | 클라우드컴퓨팅산업육성(정보화) | 해양문화도시 기반의 에이지테크 실증거점 조성 | 협업지능 피지컬AI 기반 SW플랫폼 연구개발 생태계 조성(R&D) | 공공데이터 개방 및 이용활성화 지원(정보화) | 공공부문 AI 서비스 지원 | 데이터기반행정활성화 (정보화),3,67,any_3_from_candidate_set,"사업명, 사업시행주체_목록 (df_base)",사업명={'AI컴퓨팅자원활용기반강화'} -> 사업시행주체_목록 기관 추출; 사업시행주체_목록 contains any extracted 기관 AND 사업명!={'AI컴퓨팅자원활용기반강화'} -> unique 사업명 list up to 3,문항 표현은 “사업명”이므로 해당 시행기관들이 담당하는 다른 사업명 전체를 산출. 기존 gold는 단위사업명에 가까워 문항 수정 권장. / 평가 시 gold 3개만 보지 말고 acceptable_answers 전체 후보 중 임의 3개를 정답 인정. 최종본: 기존 HITL 검증 문항 유지.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,AI컴퓨팅자원활용기반강화 사업의 내역사업 시행기관들이 담당하는 다른 사업명은 3개까지 나열하시오.,L1_strict,AI컴퓨팅자원활용기반강화 사업을 수행하는 기관들이 맡고 있는 다른 사업 이름을 최대 3개까지 알려주세요.,colloquial
STR009,Structured_HITL_20,RV01,Reverse,NIA가 시행하는 사업의 개수는 몇 개야?,28개,28개,28개,1,1,exact_value,"사업시행주체, 사업명 (df_subj)",df_subj rows where 사업시행주체={'한국지능정보사회진흥원'} -> row count,사용자 검증 기준: 29개 row이나 범정부 인공지능 공통기반 구현(정보화)이 2개 소관에 중복되어 unique 사업명 기준 28개. 최종본: 기존 HITL 검증 문항 유지.,agency_project_count,산하기관·전문기관별 사업 집중도 및 역할 확인,한국지능정보사회진흥원이 시행기관인 사업은 몇 개인가?,L1_strict,NIA가 시행하는 사업의 개수는 몇 개야?,abbreviation
STR010,Structured_HITL_20,RV02,Reverse,정보통신산업진흥원이 시행하는 사업 중 3개만 이름을 알려줄래?,4대 지역외 AX 대전환 기획 | AI AGENT 선도 국가 사업 | AI·공간컴퓨팅 창업 생태계 활성화,4대 지역외 AX 대전환 기획 | AI AGENT 선도 국가 사업 | AI·공간컴퓨팅 창업 생태계 활성화,4대 지역외 AX 대전환 기획 | AI AGENT 선도 국가 사업 | AI·공간컴퓨팅 창업 생태계 활성화 | AI 기반 뇌발달질환 디지털의료기기 실증지원 | AI반도체실증지원,3,5,any_3_from_candidate_set,"사업시행주체_목록, 사업명 (df_base)",사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 사업명 list up to 3,“5개 나열” 예시형. 사업시행주체_목록 기준 앞 5개. / 평가 시 gold 3개만 보지 말고 acceptable_answers 전체 후보 중 임의 3개를 정답 인정. 최종본: 기존 HITL 검증 문항 유지.,field_sector_reverse,정책 분야별 예산 분포·사업 구성 확인,정보통신산업진흥원이 시행기관인 사업명을 3개 나열하시오.,L1_strict,정보통신산업진흥원이 시행하는 사업 중 3개만 이름을 알려줄래?,surface_rewrite
