id,type,question_noise_level,evaluation_mode,f1,error_type
MH03,MultiHop,L1_strict,exact_set,0.0,filter_condition_error
MH04,MultiHop,L1_strict,exact_set,0.0,filter_condition_error
MH05,MultiHop,L1_strict,exact_value,0.0,filter_condition_error
MH08,MultiHop,L1_strict,any_3_from_candidate_set,0.0,filter_condition_error
RV01,Reverse,L1_strict,exact_value,0.0,entity_alias_error
RV06,Reverse,L1_strict,exact_set,0.0,filter_condition_error
CF05,ComplexFilter,L1_strict,exact_set,0.0,table_or_column_mismatch
CF06,ComplexFilter,L1_strict,exact_value,0.0,table_or_column_mismatch
MH14,MultiHop,L1_strict,any_3_from_candidate_set,0.0,table_or_column_mismatch
MH15,MultiHop,L1_strict,any_3_from_candidate_set,0.0,entity_alias_error
MH21,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,entity_alias_error
MH22,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,entity_alias_error
MH23,MultiHop,L2_realistic,exact_set,0.0,entity_alias_error
MH24,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,filter_condition_error
MH25,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,entity_alias_error
MH26,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,filter_condition_error
MH28,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,entity_alias_error
MH32,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,filter_condition_error
MH33,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,filter_condition_error
MH34,MultiHop,L2_realistic,any_3_from_candidate_set,0.0,entity_alias_error
RV08,Reverse,L2_realistic,any_3_from_candidate_set,0.3333333333333333,table_or_column_mismatch
CF08,ComplexFilter,L2_realistic,any_3_from_candidate_set,0.0,filter_condition_error
CF13,ComplexFilter,L2_realistic,any_3_from_candidate_set,0.0,filter_condition_error
CF14,ComplexFilter,L2_realistic,any_3_from_candidate_set,0.0,filter_condition_error
CF23,ComplexFilter,L3_perturbed,any_3_from_candidate_set,0.0,filter_condition_error
CF24,ComplexFilter,L3_perturbed,any_3_from_candidate_set,0.0,entity_alias_error
CF25,ComplexFilter,L3_perturbed,any_3_from_candidate_set,0.0,filter_condition_error
SQA066,Aggregation,L3_perturbed,exact_value,0.0,filter_condition_error
SQA068,Aggregation,L3_perturbed,exact_value,0.0,entity_alias_error
SQA069,Aggregation,L3_perturbed,exact_value,0.0,filter_condition_error
SQA070,Aggregation,L3_perturbed,exact_value,0.0,filter_condition_error
SQA071,Aggregation,L3_perturbed,exact_value,0.0,table_or_column_mismatch
SQA072,Aggregation,L3_perturbed,exact_value,0.0,table_or_column_mismatch
SQA074,Aggregation,L3_perturbed,exact_value,0.0,table_or_column_mismatch
SQA075,Aggregation,L3_perturbed,exact_value,0.0,table_or_column_mismatch
SQA076,Aggregation,L3_perturbed,exact_value,0.0,filter_condition_error
SQA077,Aggregation,L3_perturbed,exact_value,0.0,filter_condition_error
SQA078,Aggregation,L3_perturbed,exact_value,0.0,table_or_column_mismatch
SQA079,Aggregation,L3_perturbed,exact_value,0.0,table_or_column_mismatch
AGG015,Aggregation,L3_perturbed,exact_value,0.0,table_or_column_mismatch
