id,type,question,method,pred,precision,recall,f1,matched_items
MH02,MultiHop,NIA가 시행기관으로 있는 사업들이 포함된 단위사업명을 최대 3개까지 알려줘.,Plain Text Vector RAG,국가지식정보 연계 및 활용 촉진(정보화),0.0,0.0,0.0,
MH03,MultiHop,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,Plain Text Vector RAG,알 수 없음,0.0,0.0,0.0,
MH05,MultiHop,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,Plain Text Vector RAG,44426.0 백만원,0.0,0.0,0.0,
RV01,Reverse,NIA가 시행하는 사업의 개수는 몇 개야?,Plain Text Vector RAG,1개,0.0,0.0,0.0,
RV02,Reverse,정보통신산업진흥원이 시행하는 사업 중 3개만 이름을 알려줄래?,Plain Text Vector RAG,알 수 없음,0.0,0.0,0.0,
RV03,Reverse,고용부 소관의 출연 형태로 지원되는 사업 중에서 3개를 알려주세요.,Plain Text Vector RAG,알 수 없음,0.0,0.0,0.0,
RV04,Reverse,2026년에 새로 시작하는 사업 중에서 지원 형태가 출자인 사업을 최대 3개까지 알려줘.,Plain Text Vector RAG,알 수 없음,0.0,0.0,0.0,
RV06,Reverse,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,Plain Text Vector RAG,국가농업AX플랫폼 | 극한지스마트광역탐사를위한 로봇-ICT융합기술개발(R&D),0.0,0.0,0.0,
CF01,ComplexFilter,과기정통부 소관 사업 중에서 출연 형태로 지원받고 2026년 예산이 1000억 원 이상인 사업을 최대 3개까지 알려줘.,Plain Text Vector RAG,91 | 39,0.0,0.0,0.0,
CF02,ComplexFilter,과기정통부 소관의 새로 시작하는 사업 중에서 지원형태가 출자인 사업은 무엇이 있나요?,Plain Text Vector RAG,알 수 없음,0.0,0.0,0.0,
CF04,ComplexFilter,2026년에 예산이 전년보다 줄어들었고 계속 사업으로 과기정통부 소관인 사업을 최대 3개까지 알려주세요.,Plain Text Vector RAG,AI반도체실증지원 | 차세대 네트워크(6G) 산업 기술개발 | 디지털분야글로벌인재양성(R&D),0.0,0.0,0.0,
CF05,ComplexFilter,내역사업이 두 개 이상인 새로 시작하는 사업 중에서 세 개를 골라주세요.,Plain Text Vector RAG,알 수 없음,0.0,0.0,0.0,
CF06,ComplexFilter,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,Plain Text Vector RAG,알 수 없음,0.0,0.0,0.0,
MH11,MultiHop,한국산업기술기획평가원이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,Plain Text Vector RAG,산업통상부 | 과학기술정보통신부 | 알 수 없음,0.3333333333333333,0.3333333333333333,0.3333333333333333,산업통상부
MH18,MultiHop,정보통신기획평가원이 시행하는 사업들이 포함된 단위사업명 세 개를 알려줘.,Plain Text Vector RAG,AI-RAN 글로벌 선도 프로젝트(R&D) | 데이터센터 네트워크 인프라 기술 선도사업(R&D) | 복합지능 자율행동체 SW 핵심기술개발(R&D),0.0,0.0,0.0,
MH19,MultiHop,정보통신산업진흥원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려줘.,Plain Text Vector RAG,AI반도체실증지원,0.0,0.0,0.0,
